행정동코드,자치구,행정동,성별,연령대,총인구수,1인가구수,집 추정 위치 평일 총 체류시간 미추정 인구수,집 추정 위치 평일 총 체류시간,"집 추정 위치 평일 총 체류시간: 4분위수, 25%","집 추정 위치 평일 총 체류시간: 4분위수, 50%","집 추정 위치 평일 총 체류시간: 4분위수, 75%",집 추정 위치 휴일 총 체류시간 미추정 인구수,집 추정 위치 휴일 총 체류시간,"집 추정 위치 휴일 총 체류시간: 4분위수, 25%","집 추정 위치 휴일 총 체류시간: 4분위수, 50%","집 추정 위치 휴일 총 체류시간: 4분위수, 75%",배달 서비스 사용 미추정 인구수,배달 서비스 사용일수,"배달 서비스 사용일수: 4분위수, 25%","배달 서비스 사용일수: 4분위수, 50%","배달 서비스 사용일수: 4분위수, 75%",배달_브랜드 서비스 사용 미추정 인구수,배달_브랜드 서비스 사용일수,"배달_브랜드 서비스 사용일수: 4분위수, 25%","배달_브랜드 서비스 사용일수: 4분위수, 50%","배달_브랜드 서비스 사용일수: 4분위수, 75%",배달_식재료 서비스 사용 미추정 인구수,배달_식재료 서비스 사용일수,"배달_식재료 서비스 사용일수: 4분위수, 25%","배달_식재료 서비스 사용일수: 4분위수, 50%","배달_식재료 서비스 사용일수: 4분위수, 75%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,20,220,69.88,0,665891.46,538233.33,658600,844233.33,2.68,210407.41,142833.33,209500,284333.33,69.76,13.51,5,10,20,203.9,3.06,1.67,1.67,5,217.32,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,25,321,100.84,2.33,642277.94,433266.67,657566.67,808066.67,2.33,184688.24,105766.67,169133.33,273500,46.52,17.59,6.67,15,30,251.22,2.87,1.67,3.33,3.33,316.35,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,30,349,118.96,7.55,654415.26,471233.33,620233.33,844866.67,7.55,202419.85,130500,194866.67,262700,95.18,19.04,6.67,16.67,33.33,293.1,2.87,1.67,1.67,5,342.96,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,35,353,110.11,7.78,628246.61,433733.33,596000,803800,9.33,206593.94,118600,192300,290300,122.85,18.55,6.67,15,31.67,300.13,3.08,1.67,3.33,5,345.22,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,40,419,82.12,7.03,633391.49,445433.33,572566.67,824500,12.29,203633.91,138800,199166.67,264433.33,213.51,15.7,5,13.33,23.33,373.34,2.5,1.67,1.67,3.33,410.22,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,45,351,82.44,5.53,622470.53,440033.33,557733.33,813933.33,11.06,196758.13,126266.67,190500,259233.33,197.61,13.23,5,10,18.33,316.45,3.13,1.67,3.33,5,346.85,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,50,323,48.31,2.31,642781.53,457566.67,609633.33,846166.67,4.61,207740.82,129733.33,210033.33,273633.33,226.1,10.95,3.33,6.67,13.33,304.54,3.13,1.67,1.67,5,320.69,1.67,1.67,1.67,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,55,350,54.49,6.94,661959.24,471700,589300,886966.67,8.33,215860.7,143433.33,198433.33,287566.67,276.39,7.67,1.67,3.33,8.33,345.83,2.22,1.67,1.67,3.33,350,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,60,245,40.55,3.25,691938.57,491133.33,677433.33,914166.67,4.34,225690.09,150233.33,222766.67,293000,215.73,8.7,1.67,5,13.33,240.66,2.92,1.67,1.67,3.33,245,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101053,종로구,사직동,1,65,179,30.74,2.12,727926.46,542633.33,723366.67,917466.67,4.24,234632.72,165100,246433.33,300066.67,167.35,6.11,3.33,5,5,176.88,0,0,0,0,176.88,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
